longitude,latitude,room_type
103.83551999999999,1.30408,Entire home/apt
103.85287,1.31723,Entire home/apt
103.83345,1.3035700000000001,Entire home/apt
103.86194,1.3125799999999999,Entire home/apt
103.84517,1.27655,Entire home/apt
103.84668,1.3000200000000002,Entire home/apt
103.84501999999999,1.30009,Entire home/apt
103.86036,1.3001,Entire home/apt
103.84411999999999,1.28888,Entire home/apt
103.84281999999999,1.28714,Entire home/apt
103.8555,1.3152700000000002,Entire home/apt
103.82806,1.29342,Entire home/apt
103.84239000000001,1.2892700000000001,Entire home/apt
103.85361,1.31364,Entire home/apt
103.84017,1.30049,Entire home/apt
103.85412,1.3137299999999998,Entire home/apt
103.8854,1.31335,Entire home/apt
103.85505,1.27875,Entire home/apt
